iter	MultiClass
0	1.066955721
1	1.029618999
2	0.9924588127
3	0.955602189
4	0.9230248897
5	0.895252762
6	0.8714856564
7	0.8424845044
8	0.8181446178
9	0.7937804609
10	0.7732875788
11	0.7580116005
12	0.7400559779
13	0.7231318602
14	0.7050917507
15	0.6909655254
16	0.6769742508
17	0.6661476396
18	0.6513064316
19	0.6364301788
20	0.6226434053
21	0.6090686312
22	0.5970414038
23	0.5856234053
24	0.5715504643
25	0.5639704828
26	0.5536479976
27	0.545325289
28	0.5371835953
29	0.5294595214
30	0.522378078
31	0.5135245078
32	0.505609661
33	0.4978667973
34	0.4906264677
35	0.4853838075
36	0.478579786
37	0.4717964114
38	0.4656037536
39	0.4606562114
40	0.4545231506
41	0.4488320503
42	0.4446827373
43	0.4386223797
44	0.4331845254
45	0.4293645654
46	0.4246742758
47	0.420428919
48	0.4158742066
49	0.410755754
50	0.4064656698
51	0.4024173849
52	0.3989153891
53	0.3955409001
54	0.3906444109
55	0.3880659971
56	0.3842207913
57	0.3810120062
58	0.3775681057
59	0.3753060119
60	0.3724832514
61	0.3695463448
62	0.3665600674
63	0.3633436445
64	0.3608100939
65	0.3582202965
66	0.3554817578
67	0.352455134
68	0.3495774762
69	0.3469245098
70	0.3439960894
71	0.3412307913
72	0.3397143288
73	0.3367421861
74	0.3336465004
75	0.3312465502
76	0.32914155
77	0.3264682995
78	0.324358353
79	0.3217667546
80	0.3192364306
81	0.3166787692
82	0.3144673068
83	0.3124582357
84	0.3104756616
85	0.308443237
86	0.3066066666
87	0.304238734
88	0.302254008
89	0.3008804078
90	0.2987023411
91	0.2974243402
92	0.294808784
93	0.2932962646
94	0.2910321188
95	0.288722786
96	0.286498477
97	0.2841141724
98	0.2828337504
99	0.2810001458
100	0.2795541647
101	0.2780368883
102	0.2762641721
103	0.2743997181
104	0.2728091085
105	0.2713579604
106	0.2699176028
107	0.2678963377
108	0.2658212887
109	0.2644635981
110	0.2619443471
111	0.2606384371
112	0.2590516279
113	0.2574628909
114	0.2559077143
115	0.2539442037
116	0.2524196524
117	0.2505605115
118	0.2487900735
119	0.2478006499
120	0.2461427047
121	0.2447810977
122	0.2432699237
123	0.2414877894
124	0.2403345274
125	0.2383274026
126	0.2367320142
127	0.2359892877
128	0.2348957668
129	0.2338323206
130	0.2325966037
131	0.231012386
132	0.2300331897
133	0.2284130221
134	0.226874988
135	0.2259849977
136	0.2244752268
137	0.2226270643
138	0.2216310377
139	0.2205018844
140	0.2192645114
141	0.2180857126
142	0.2168474097
143	0.2154598544
144	0.2139334613
145	0.2127295094
146	0.2110571173
147	0.20965837
148	0.2084433043
149	0.2075514463
150	0.2066030682
151	0.2056775663
152	0.2047259217
153	0.2038975414
154	0.20271936
155	0.2016505289
156	0.2002493858
157	0.198810242
158	0.1974858925
159	0.1961277166
160	0.1948828043
161	0.1938420193
162	0.1931929142
163	0.1920536894
164	0.1909536113
165	0.1898644772
166	0.1889217096
167	0.1878025709
168	0.187156035
169	0.186341442
170	0.1854485156
171	0.1843620437
172	0.1831635252
173	0.1823647751
174	0.1815521762
175	0.1805945739
176	0.1795811497
177	0.1782536493
178	0.1774948236
179	0.1764461166
180	0.1755614986
181	0.1745838437
182	0.1737254561
183	0.1729056123
184	0.1722167448
185	0.1714216319
186	0.1705661574
187	0.1696950999
188	0.1690185522
189	0.1684156498
190	0.1679589622
191	0.1669816865
192	0.1664587194
193	0.1654047296
194	0.1647383748
195	0.1640602063
196	0.1632259862
197	0.1625463604
198	0.1617675227
199	0.1612389888
200	0.1599396283
201	0.1588635247
