iter	Passed	Remaining
0	524	261714
1	689	171808
2	845	140061
3	949	117707
4	956	94698
5	1091	89901
6	1179	83055
7	1261	77599
8	1355	73966
9	1389	68075
10	1495	66479
11	1510	61407
12	1593	59679
13	1675	58169
14	1721	55659
15	1900	57485
16	1978	56224
17	2057	55100
18	2141	54204
19	2245	53890
20	2301	52487
21	2397	52087
22	2485	51556
23	2571	50996
24	2635	50083
25	2768	50474
26	2794	48956
27	2888	48688
28	2946	47860
29	3025	47401
30	3096	46847
31	3175	46436
32	3253	46037
33	3318	45486
34	3386	44985
35	3427	44181
36	3513	43960
37	3585	43591
38	3643	43072
39	3701	42565
40	3743	41907
41	3817	41630
42	3876	41194
43	3933	40770
44	4019	40643
45	4095	40425
46	4110	39619
47	4182	39386
48	4257	39184
49	4334	39011
50	4426	38972
51	4487	38657
52	4528	38189
53	4554	37616
54	4623	37406
55	4669	37024
56	4759	36993
57	4842	36904
58	4935	36891
59	5038	36949
60	5102	36721
61	5160	36457
62	5250	36417
63	5315	36212
64	5374	35967
65	5432	35723
66	5468	35339
67	5499	34940
68	6082	37996
69	6332	38897
70	6445	38946
71	6514	38726
72	6575	38464
73	6640	38226
74	6744	38218
75	6847	38201
76	6945	38152
77	7054	38165
78	7142	38062
79	7247	38049
80	7355	38047
81	7454	37997
82	7498	37675
83	7588	37582
84	7697	37581
85	7764	37377
86	7802	37037
87	7867	36834
88	7953	36727
89	7999	36443
90	8071	36279
91	8156	36171
92	8214	35951
93	8284	35780
94	8331	35517
95	8382	35278
96	8439	35061
97	8494	34844
98	8568	34707
99	8631	34527
100	8685	34313
101	8815	34397
102	8954	34514
103	9081	34580
104	9214	34663
105	9290	34533
106	9449	34707
107	9527	34581
108	9594	34417
109	9699	34390
110	9845	34504
111	9916	34354
112	10010	34282
113	10098	34194
114	10461	35022
115	10695	35405
116	10869	35581
117	10980	35545
118	11101	35544
119	11260	35659
120	11368	35608
121	11462	35515
122	11690	35832
123	11797	35774
124	11917	35753
125	12231	36306
126	12410	36448
127	12587	36581
128	12713	36563
129	13087	37248
130	13379	37686
131	13923	38818
132	14053	38778
133	14142	38628
134	14234	38487
135	14378	38483
136	14583	38642
137	14724	38624
138	15138	39316
139	15375	39536
140	15681	39927
141	15850	39960
142	16003	39951
143	16126	39869
144	16197	39656
145	16297	39515
146	16367	39304
147	16499	39242
148	16606	39119
149	16739	39058
150	16850	38945
151	16957	38823
152	17038	38643
153	17162	38559
154	17263	38424
155	17350	38260
156	17470	38167
157	17520	37923
158	17622	37793
159	17677	37565
160	17779	37436
161	18059	37680
162	18196	37620
163	18327	37548
164	18421	37400
165	18514	37252
166	18651	37191
167	18808	37168
168	19048	37307
169	19159	37191
170	19225	36989
171	19294	36793
172	19364	36601
173	19451	36443
174	19548	36304
175	19641	36158
176	19742	36026
177	19862	35930
178	19942	35762
179	20034	35617
180	20132	35483
181	20235	35355
182	20311	35185
183	20387	35013
184	20474	34862
185	20586	34752
186	20645	34556
187	20731	34404
188	20819	34259
189	20923	34137
190	21013	33996
191	21080	33816
192	21171	33677
193	21280	33566
194	21343	33382
195	21405	33199
196	21467	33018
197	21527	32834
198	21577	32637
199	21664	32496
200	21726	32320
201	21812	32178
202	21984	32164
203	22085	32044
204	22167	31900
205	22237	31736
206	22317	31589
207	22403	31451
208	22471	31288
209	22517	31096
210	22607	30964
211	22685	30818
212	22751	30656
213	22821	30500
214	22895	30349
215	22955	30182
216	23026	30030
217	23107	29891
218	23164	29722
219	23226	29561
220	23309	29427
221	23389	29290
222	23489	29177
223	23559	29028
224	23609	28856
225	23683	28714
226	23835	28665
227	23910	28524
228	23978	28376
229	24037	28218
230	24231	28217
231	24337	28113
232	24455	28024
233	24523	27877
234	24594	27733
235	24655	27580
236	24768	27485
237	24908	27420
238	25065	27372
239	25143	27238
240	25230	27114
241	25303	26976
242	25357	26817
243	25425	26676
244	25508	26550
245	25573	26405
246	25640	26263
247	25725	26140
248	25878	26086
249	25964	25964
250	26069	25861
251	26178	25763
252	26251	25628
253	26351	25521
254	26427	25391
255	26489	25248
256	26549	25103
257	26613	24962
258	26684	24830
259	26781	24721
260	26844	24581
261	26911	24446
262	26993	24325
263	27047	24179
264	27137	24065
265	27232	23956
266	27321	23841
267	27376	23699
268	27445	23568
269	27574	23489
270	27652	23366
271	27765	23273
272	27824	23135
273	27913	23023
274	28015	22921
275	28070	22781
276	28131	22646
277	28204	22522
278	28310	22425
279	28377	22296
280	28436	22162
281	28522	22049
282	28591	21923
283	28659	21797
284	28729	21673
285	28825	21568
286	28885	21437
287	28940	21303
288	29035	21199
289	29086	21062
290	29161	20943
291	29264	20846
292	29343	20730
293	29481	20657
294	29652	20605
295	29746	20500
296	29811	20376
297	29894	20264
298	29995	20164
299	30087	20058
300	30156	19937
301	30207	19804
302	30280	19687
303	30360	19574
304	30457	19472
305	30534	19358
306	30587	19229
307	30689	19130
308	30766	19017
309	30841	18902
310	30925	18793
311	31000	18679
312	31121	18593
313	31199	18481
314	31258	18358
315	31327	18241
316	31400	18127
317	31498	18027
318	31603	17931
319	31648	17802
320	31692	17672
321	31768	17561
322	31845	17450
323	31949	17355
324	32051	17258
325	32259	17218
326	32458	17172
327	32541	17064
328	32610	16949
329	32668	16829
330	32760	16726
331	32858	16627
332	32957	16528
333	33018	16410
334	33097	16301
335	33188	16199
336	33251	16083
337	33295	15958
338	33372	15849
339	33440	15736
340	33536	15637
341	33586	15516
342	33647	15401
343	33713	15288
344	33778	15175
345	33922	15098
346	33977	14981
347	34059	14876
348	34129	14766
349	34189	14652
350	34285	14554
351	34450	14485
352	34536	14382
353	34608	14273
354	34693	14170
355	34810	14080
356	34888	13975
357	35002	13883
358	35074	13775
359	35146	13668
360	35254	13574
361	35374	13485
362	35456	13381
363	35556	13284
364	35641	13182
365	35717	13076
366	35785	12968
367	35849	12859
368	35958	12765
369	36070	12673
370	36181	12580
371	36262	12477
372	36370	12383
373	36431	12273
374	36527	12175
375	36594	12068
376	36668	11963
377	36739	11857
378	36808	11751
379	36898	11652
380	36999	11556
381	37072	11451
382	37173	11355
383	37230	11246
384	37300	11141
385	37405	11047
386	37450	10935
387	37527	10832
388	37598	10728
389	37673	10625
390	37759	10526
391	37825	10421
392	37887	10315
393	37944	10208
394	38018	10106
395	38105	10007
396	38153	9898
397	38240	9800
398	38340	9705
399	38419	9604
400	38509	9507
401	38592	9408
402	38664	9306
403	38715	9199
404	38815	9104
405	38886	9003
406	38936	8897
407	39037	8802
408	39098	8699
409	39165	8597
410	39255	8500
411	39328	8400
412	39422	8304
413	39531	8211
414	39624	8115
415	39719	8020
416	39828	7927
417	39909	7829
418	40078	7747
419	40154	7648
420	40247	7552
421	40320	7452
422	40400	7354
